;;;;
Förnamn och antal bärare för folkbokförda kvinnor 31 december 2022;;;;
Förnamn med minst två bärare;;;;
;;;;
Förnamn;Antal bärare;;;
ABDULJALIL;10;;;
ABDULJAWAD;6;;;
ABDULJEBAR;3;;;
ABDULKAADIR;3;;;
ABDULKABIR;2;;;
ABDULKADER;98;;;
ABDULKADHEM;5;;;
ABDULKADHIM;23;;;
ABDULKADHUM;2;;;
ABDULKADIR;575;;;
ABDULKADUM;2;;;
ABDULKALK;2;;;
ABDULKANI;2;;;
ABDULKAREEM;241;;;
ABDULKAREM;14;;;
ABDULKARIM;165;;;
ABDULKAYUM;2;;;
ABDULKAZIM;2;;;
ABDULKERIM;7;;;
ABDULKHADER;4;;;
ABDULKHADIR;6;;;
ABDULKHALEK;3;;;
ABDULKHALEQ;41;;;
ABDULKHALIK;5;;;
ABDULKHALIQ;4;;;
ABDULKHUDHUR;3;;;
ABDULL;9;;;
ABDULLA;219;;;
ABDULLAAHI;22;;;
ABDULLAH;988;;;
ABDULLAHI;1 546;;;
ABDULLAHIKHADAR;2;;;
ABDULLAI;2;;;
ABDULLATEEF;2;;;
ABDULLATEF;2;;;
ABDULLATIF;30;;;
ABDULLAZIZ;5;;;
ABDULLE;133;;;
ABDULLEH;4;;;
ABDULLFATAH;2;;;
ABDULLHI;2;;;
ABDULLKADER;2;;;
ABDULLKADIR;2;;;
ABDULLKHALEQ;2;;;
ABDULLRAHMAN;7;;;
ABDULLRAZAQ;3;;;
ABDULLWAHAB;2;;;
ABDULMAGED;9;;;
ABDULMAGEED;2;;;
ABDULMAGID;2;;;
ABDULMAHDI;20;;;
ABDULMAHDY;2;;;
ABDULMAJED;2;;;
ABDULMAJEED;39;;;
ABDULMAJID;20;;;
ABDULMALEK;11;;;
ABDULMALIK;9;;;
ABDULMANAF;3;;;
ABDULMANNAN;2;;;
ABDULMASEEH;17;;;
ABDULMASIH;12;;;
ABDULMASSIH;2;;;
ABDULMAWLA;3;;;
ABDULMEHDI;3;;;
ABDULMEHSIN;4;;;
ABDULMELIK;2;;;
ABDULMOHSIN;27;;;
ABDULMONEEM;4;;;
ABDULMONEM;2;;;
ABDULMONIM;4;;;
ABDULMUAKIT;3;;;
ABDULMUHSEN;2;;;
ABDULMUHSIN;2;;;
ABDULMUNEM;28;;;
ABDULMUNIEM;2;;;
ABDULMUTTALEB;10;;;
ABDULNABI;17;;;
ABDULNASER;14;;;
ABDULNASIR;12;;;
ABDULNASSER;5;;;
ABDULNOOR;2;;;
ABDULOVA;2;;;
ABDULQAADIR;8;;;
ABDULQADER;85;;;
ABDULQADIR;128;;;
ABDULQAFAR;2;;;
ABDULQAHAR;5;;;
ABDULRAB;4;;;
ABDULRADHA;2;;;
ABDULRAHEEM;44;;;
ABDULRAHEM;3;;;
ABDULRAHIM;33;;;
ABDULRAHMAN;356;;;
ABDULRAQEB;3;;;
ABDULRASHEED;5;;;
ABDULRASHID;6;;;
ABDULRASOOL;14;;;
ABDULRASOUL;2;;;
ABDULRAZA;2;;;
ABDULRAZAK;41;;;
ABDULRAZAQ;25;;;
ABDULRAZZAK;15;;;
ABDULRAZZAQ;123;;;
ABDULREDA;5;;;
ABDULREDHA;9;;;
ABDULREHMAN;2;;;
ABDULREZAK;2;;;
ABDULRHMAN;4;;;
ABDULRIDA;2;;;
ABDULRIDHA;51;;;
ABDULRIZAK;5;;;
ABDULSADA;25;;;
ABDULSAHEB;2;;;
ABDULSAHIB;34;;;
ABDULSALAM;114;;;
ABDULSALEH;7;;;
ABDULSAMAD;12;;;
ABDULSAMED;2;;;
ABDULSAMEEA;4;;;
ABDULSATAR;13;;;
ABDULSATTAR;73;;;
ABDULSATTER;5;;;
ABDULSAYED;3;;;
ABDULSELAM;4;;;
ABDULSEMED;3;;;
ABDULSHAHEED;5;;;
ABDULWADOUD;2;;;
ABDULWAFA;3;;;
ABDULWAHAB;52;;;
ABDULWAHED;19;;;
ABDULWAHHAB;39;;;
ABDULWAHID;64;;;
ABDULWALI;4;;;
ABDULWASE;3;;;
ABDULWASEA;3;;;
ABDULWASIE;5;;;
ABDULWASIG;2;;;
ABDULWHAB;7;;;
ABDULZAHRA;41;;;
ABDUNNASER;2;;;
ABDUQAADIR;7;;;
ABDUQADIR;38;;;
ABDUR;3;;;
ABDURABU;3;;;
ABDURAHIM;15;;;
ABDURAHMAN;106;;;
ABDURASHID;6;;;
ABDURAZAK;6;;;
ABDURAZZAK;2;;;
ABDUREHMAN;5;;;
ABDUREZAK;7;;;
ABDURHAMAN;3;;;
ABDURHMAN;2;;;
ABDURRAHIM;2;;;
ABDURRAHMAN;5;;;
ABDURRAUF;2;;;
ABDUSALAM;5;;;
ABDUSELAM;23;;;
ABDUSEMED;2;;;
ABDUSSALAM;6;;;
ABDUWAHID;2;;;
ABDUWALI;5;;;
ABDUWALLI;4;;;
ABE;6;;;
ABEAR;2;;;
ABEBA;200;;;
ABEBAW;3;;;
ABEBAYEHU;4;;;
ABEBE;60;;;
ABEBECH;14;;;
ABEBESH;3;;;
ABEBU;2;;;
ABED;401;;;
ABEDA;16;;;
ABEDALAMIR;2;;;
ABEDALAZIZ;6;;;
ABEDALLAH;4;;;
ABEDALQADER;6;;;
ABEDEH;4;;;
ABEDELHUSSAIN;2;;;
ABEDIN;7;;;
ABEDOM;4;;;
ABEDQADER;2;;;
ABEDULLAH;2;;;
ABEED;3;;;
ABEEHA;22;;;
ABEER;523;;;
ABEERA;24;;;
ABEGAIL;16;;;
ABEGALE;2;;;
ABEHA;2;;;
ABEIR;20;;;
ABEJE;2;;;
ABEKE;2;;;
ABEL;15;;;
ABELA;13;;;
ABELEMO;2;;;
ABELENDANI;3;;;
ABELIA;3;;;
ABELINA;7;;;
ABELINE;3;;;
ABELLA;9;;;
ABELLE;2;;;
ABELONA;4;;;
ABELONE;3;;;
ABENA;49;;;
ABENAA;5;;;
ABENAN;6;;;
ABENET;3;;;
ABENI;6;;;
ABER;48;;;
ABERA;35;;;
ABERASH;16;;;
ABERCROMBIE;2;;;
ABERE;2;;;
ABESAGIR;3;;;
ABETARE;12;;;
ABEYA;2;;;
ABEYE;2;;;
ABEYI;2;;;
ABEYWARDHANA;2;;;
ABHA;9;;;
ABHAYA;2;;;
ABHIGNA;5;;;
ABHIJEET;13;;;
ABHIJIT;12;;;
ABHILASHA;10;;;
ABHIMANYU;2;;;
ABHINANDA;2;;;
ABHINAYA;2;;;
ABHIPSA;3;;;
ABHIRAMI;3;;;
ABHISHA;2;;;
ABHISHEK;4;;;
ABI;25;;;
ABIA;9;;;
ABIB;19;;;
ABIBA;2;;;
ABIBAT;2;;;
ABIBATOU;3;;;
ABIBATU;2;;;
ABIBE;5;;;
ABID;56;;;
ABIDA;68;;;
ABIDAH;2;;;
ABIDALLAH;2;;;
ABIDE;18;;;
ABIDEMI;11;;;
ABIDI;2;;;
ABIE;11;;;
ABIEL;5;;;
ABIER;14;;;
ABIEUWA;2;;;
ABIEYUWA;11;;;
ABIGAEL;45;;;
ABIGAIL;798;;;
ABIGAILA;4;;;
ABIGAILE;3;;;
ABIGAJIL;2;;;
ABIGAL;4;;;
ABIGALE;3;;;
ABIGAYIL;4;;;
ABIGAYL;11;;;
ABIGAYLE;3;;;
ABIGAÍL;2;;;
ABIGAÏL;2;;;
ABIGEL;16;;;
ABIGIA;2;;;
ABIGIYA;2;;;
ABIGYA;2;;;
ABIGÉL;5;;;
ABIHA;27;;;
ABIIB;5;;;
ABIIBAKAR;3;;;
ABIIBO;2;;;
ABIIR;10;;;
ABIKE;3;;;
ABILD;3;;;
ABILDGAARD;4;;;
ABILDTRUP;4;;;
ABILIA;2;;;
ABILLO;2;;;
ABIMBOLA;16;;;
ABINA;3;;;
ABINAYA;10;;;
ABINET;3;;;
ABIODUN;12;;;
ABIOLA;8;;;
ABIOSE;3;;;
