;;;;
Förnamn och antal bärare för folkbokförda män 31 december 2022;;;;
Förnamn med minst två bärare;;;;
;;;;
Förnamn;Antal bärare;;;
ABDIHAMED;2;;;
ABDIHAMID;52;;;
ABDIHAMIID;5;;;
ABDIHASHI;2;;;
ABDII;2;;;
ABDIIHAKIM;3;;;
ABDIJABAAR;5;;;
ABDIJABAR;36;;;
ABDIJABBAR;5;;;
ABDIJALIL;11;;;
ABDIJAMAL;3;;;
ABDIJIBAAR;3;;;
ABDIJIBAR;13;;;
ABDIKAADIR;6;;;
ABDIKAAFI;17;;;
ABDIKADAR;28;;;
ABDIKADDIR;2;;;
ABDIKADER;17;;;
ABDIKADIR;342;;;
ABDIKAFAR;3;;;
ABDIKAFI;79;;;
ABDIKALIK;3;;;
ABDIKALIQ;3;;;
ABDIKAMIL;8;;;
ABDIKANI;81;;;
ABDIKARIIM;19;;;
ABDIKARIIN;12;;;
ABDIKARIM;418;;;
ABDIKARIN;86;;;
ABDIKASIM;2;;;
ABDIKENI;3;;;
ABDIKERIM;3;;;
ABDIKHADAR;48;;;
ABDIKHADER;6;;;
ABDIKHADIR;11;;;
ABDIKHAFAR;3;;;
ABDIKHALAQ;5;;;
ABDIKHALIK;6;;;
ABDIKHALIQ;18;;;
ABDIKHANI;13;;;
ABDIKHAYR;4;;;
ABDIKRIM;2;;;
ABDIL;20;;;
ABDILAAHI;23;;;
ABDILADHIF;4;;;
ABDILADIF;38;;;
ABDILADIIF;6;;;
ABDILAH;6;;;
ABDILAHI;118;;;
ABDILATIF;13;;;
ABDILAZIZ;7;;;
ABDILE;6;;;
ABDILHADI;2;;;
ABDILHALIM;3;;;
ABDILKADIR;10;;;
ABDILKARIM;9;;;
ABDILLAAH;4;;;
ABDILLAAHI;3;;;
ABDILLAH;8;;;
ABDILLAHI;183;;;
ABDILLATIF;2;;;
ABDILLE;7;;;
ABDILMAJID;3;;;
ABDILNASIR;2;;;
ABDILQADIR;3;;;
ABDILRAHMAN;5;;;
ABDILRASHID;5;;;
ABDILRIZAQ;4;;;
ABDILWELI;2;;;
ABDIMAALIK;8;;;
ABDIMAHAD;14;;;
ABDIMAHIN;4;;;
ABDIMAIN;3;;;
ABDIMAJIB;2;;;
ABDIMAJID;54;;;
ABDIMAJIID;10;;;
ABDIMALEK;6;;;
ABDIMALIG;5;;;
ABDIMALIK;154;;;
ABDIMANAN;5;;;
ABDIMANNAN;3;;;
ABDIMUDALIB;11;;;
ABDIMUHSIN;2;;;
ABDIMUNEIM;7;;;
ABDIMUNIM;3;;;
ABDIN;31;;;
ABDINAASER;2;;;
ABDINAASIR;21;;;
ABDINAFA;10;;;
ABDINAFAC;2;;;
ABDINAJIB;45;;;
ABDINAJIIB;2;;;
ABDINAS;3;;;
ABDINASER;17;;;
ABDINASIR;474;;;
ABDINASSER;19;;;
ABDINASSIR;18;;;
ABDINE;2;;;
ABDINEJIB;4;;;
ABDINOOR;25;;;
ABDINOR;9;;;
ABDINOUR;8;;;
ABDINSIR;3;;;
ABDINUR;100;;;
ABDINUUR;31;;;
ABDIQAADIR;24;;;
ABDIQADAR;22;;;
ABDIQADER;10;;;
ABDIQADIR;123;;;
ABDIQAFAAR;5;;;
ABDIQAFAR;28;;;
ABDIQALIK;2;;;
ABDIQALIQ;9;;;
ABDIQANI;220;;;
ABDIQEYS;3;;;
ABDIRABI;12;;;
ABDIRACHID;4;;;
ABDIRAHAM;3;;;
ABDIRAHAMAN;13;;;
ABDIRAHEM;2;;;
ABDIRAHIIM;9;;;
ABDIRAHIIN;2;;;
ABDIRAHIM;240;;;
ABDIRAHIN;26;;;
ABDIRAHMA;2;;;
ABDIRAHMAAN;61;;;
ABDIRAHMAN;2 927;;;
ABDIRAHMAN ABDULLAHI;2;;;
ABDIRAHMAN OMAR;2;;;
ABDIRAHOY;2;;;
ABDIRAMAN;3;;;
ABDIRAOUF;2;;;
ABDIRASAK;17;;;
ABDIRASAQ;23;;;
ABDIRASCID;3;;;
ABDIRASHED;5;;;
ABDIRASHID;448;;;
ABDIRASHIID;41;;;
ABDIRASIID;2;;;
ABDIRAUF;6;;;
ABDIRAXMAAN;2;;;
ABDIRAXMAN;7;;;
ABDIRAZAK;85;;;
ABDIRAZAQ;13;;;
ABDIRESAK;4;;;
ABDIRESAQ;3;;;
ABDIRESHID;2;;;
ABDIREZAK;8;;;
ABDIRHAMAN;4;;;
ABDIRHIM;2;;;
ABDIRHMAN;7;;;
ABDIRIHIN;2;;;
ABDIRIHMAN;12;;;
ABDIRISAAK;9;;;
ABDIRISAAQ;53;;;
ABDIRISACK;12;;;
ABDIRISAG;3;;;
ABDIRISAK;250;;;
ABDIRISAKH;5;;;
ABDIRISAQ;228;;;
ABDIRISEK;3;;;
ABDIRISHID;9;;;
ABDIRISQ;2;;;
ABDIRIZAAK;6;;;
ABDIRIZAAQ;5;;;
ABDIRIZACK;9;;;
ABDIRIZAG;5;;;
ABDIRIZAH;2;;;
ABDIRIZAK;388;;;
ABDIRIZAQ;35;;;
ABDIRRAHMAN;3;;;
ABDIRRIZAK;4;;;
ABDIRSAAK;2;;;
ABDIRSAAQ;6;;;
ABDIRSAC;3;;;
ABDIRSAQ;6;;;
ABDIRZAK;3;;;
ABDISA;3;;;
ABDISABIR;3;;;
ABDISADE;5;;;
ABDISAHAL;7;;;
ABDISAID;4;;;
ABDISALAAM;20;;;
ABDISALAAN;30;;;
ABDISALAM;197;;;
ABDISALAN;148;;;
ABDISALEM;4;;;
ABDISAMAD;115;;;
ABDISAMED;49;;;
ABDISAMET;2;;;
ABDISATAAR;3;;;
ABDISATAR;5;;;
ABDISELAM;6;;;
ABDISEMED;6;;;
ABDISH;2;;;
ABDISHAKOR;2;;;
ABDISHAKOUR;9;;;
ABDISHAKUR;221;;;
ABDISHAKUUR;24;;;
ABDISHARAF;3;;;
ABDISHOKOR;2;;;
ABDISHUKRI;10;;;
ABDISHUKUR;5;;;
