;;;;
Tilltalsnamn, antal bärare och medelålder för folkbokförda kvinnor 31 december 2022;;;;
Tilltalsnamn med minst två bärare, medelålder redovisas där antal bärare är 10 eller fler;;;;
;;;;
Tilltalsnamn;Antal bärare;Medelålder;;
AGARTHA;3;-;;
AGATA;484;36,9;;
AGÁTA;4;-;;
AGATE;4;-;;
AGATHA;47;34,3;;
AGATHE;31;39,2;;
AGATHI;10;50;;
AGAVNI;3;-;;
AGAZIT;2;-;;
AGDA;165;66,1;;
AGE;6;-;;
AGELIKI;6;-;;
AGGA;2;-;;
AGGE;5;-;;
AGGELIKI;11;35,4;;
AGGI;4;-;;
AGGIE;12;47,1;;
AGHADEER;4;-;;
AGHARID;2;-;;
AGHAVNI;5;-;;
AGHDAS;38;71,7;;
AGHELA;2;-;;
AGHELE;2;-;;
AGHELEH;3;-;;
AGHIGH;3;-;;
AGI;10;29,5;;
AGIA;2;-;;
AGIE;2;-;;
AGIJA;5;-;;
AGILA;3;-;;
AGIME;7;-;;
AGITA;9;-;;
AGLA;3;-;;
AGLAIA;19;50,6;;
AGLAJA;2;-;;
AGLAYA;6;-;;
AGNA;5;-;;
AGNE;87;31,8;;
AGNÉ;18;34;;
AGNÈ;2;-;;
AGNELA;2;-;;
AGNELIA;5;-;;
AGNES;15935;18,2;;
AGNÉS;3;-;;
AGNÈS;29;23,7;;
ÁGNES;42;39,4;;
ÀGNES;2;-;;
AGNES CECILIA;8;-;;
AGNES ELISE;2;-;;
AGNESA;170;21,7;;
AGNES-CECILIA;23;18,4;;
AGNESE;62;38;;
AGNES-FELICIA;3;-;;
AGNES-LO;2;-;;
AGNES-MARIA;2;-;;
AGNESS;4;-;;
AGNESSA;4;-;;
AGNETA;17013;67,3;;
AGNÉTA;4;-;;
AGNETE;74;70,1;;
AGNETÉ;2;-;;
AGNETH;2;-;;
AGNETHA;656;59,8;;
AGNETHE;17;68,9;;
AGNEZ;42;14,1;;
AGNEZA;2;-;;
AGNI;16;43,6;;
AGNIESZKA;1454;42,7;;
AGNIETE;3;-;;
AGNIJA;8;-;;
AGNIJE;2;-;;
AGNIS;3;-;;
AGNITA;4;-;;
AGNOULA;2;-;;
AGNY;3;-;;
AGONETA;2;-;;
AGONITA;2;-;;
AGORITSA;4;-;;
AGOSTINA;7;-;;
AGOT;3;-;;
AGOTA;21;39;;
ÁGOTA;8;-;;
AGRIMA;3;-;;
AGRIN;10;24;;
AGRIPINA;2;-;;
AGRIPPINA;2;-;;
AGRITA;7;-;;
AGUEDA;8;-;;
AGUIL;2;-;;
AGURTZANE;2;-;;
AGUSTA;6;-;;
ÁGÚSTA;5;-;;
AGUSTINA;35;32,9;;
AH;10;57,1;;
AHAANA;3;-;;
AHAD;8;-;;
AHADO;4;-;;
AHALAM;6;-;;
AHALYA;2;-;;
AHANA;15;8,7;;
AHANG;16;37,3;;
AHATA;2;-;;
AHD;14;30,4;;
AHDAB;3;-;;
AHDIEH;5;-;;
AHED;52;32,3;;
AHEDA;2;-;;
AHEEN;3;-;;
AHELLA;2;-;;
AHEN;2;-;;
AHENG;3;-;;
AHGNES;2;-;;
AHID;4;-;;
AHIDA;2;-;;
AHIN;39;21,9;;
AHINK;2;-;;
AHLA;3;-;;
AHLAAM;59;9,3;;
AHLAAN;4;-;;
AHLAM;627;36,8;;
AHLAME;4;-;;
AHLAN;16;15,9;;
AHLEM;30;39,4;;
AHLINA;4;-;;
AHLINE;2;-;;
AHMAD;4;-;;
AHMED;12;32,3;;
AHMEDINA;5;-;;
AHMIJA;2;-;;
AHN;2;-;;
AHNA;3;-;;
AHNN;2;-;;
AHNNA;11;43,6;;
AHO;6;-;;
AHOD;5;-;;
AHONA;4;-;;
AHOO;3;-;;
AHOOD;3;-;;
AHOU;3;-;;
AHRI;2;-;;
AHSAN;3;-;;
AHSEN;7;-;;
AHTER;2;-;;
AHU;7;-;;
AHUOD;2;-;;
AHYA;4;-;;
AHYAE;2;-;;
AI;68;45,8;;
ÁI;2;-;;
AI VY;3;-;;
AIA;61;22,1;;
AIAH;19;21;;
AIAN;3;-;;
AIANA;8;-;;
AIAT;16;20,6;;
AICHA;393;32,9;;
AÏCHA;8;-;;
AICHAH;2;-;;
AICHATOU;4;-;;
AICHE;9;-;;
AICHEH;8;-;;
AICHUN;2;-;;
AIDA;1723;36,8;;
AÏDA;5;-;;
AIDAA;3;-;;
AIDAH;22;21,9;;
AIDAI;2;-;;
AIDAN;3;-;;
AIDANA;10;26,2;;
AIDE;6;-;;
AIDEE;3;-;;
AIDEEN;4;-;;
AIDEH;3;-;;
AIDEN;10;25,5;;
AIDI;6;-;;
AIE;5;-;;
AIEDA;6;-;;
AIEH;5;-;;
AIELEEN;2;-;;
AIESHA;5;-;;
AIFA;2;-;;
AIGA;16;40,5;;
AIGERIM;8;-;;
AIGUL;19;47,8;;
AIHAN;4;-;;
AIHUA;6;-;;
AIIA;3;-;;
AIILA;2;-;;
AIINA;2;-;;
AIJA;106;54,6;;
AIJA-LIISA;2;-;;
AIJAN;2;-;;
AIJA-RIITTA;2;-;;
AIJLA;4;-;;
AIJU;2;-;;
AIJUN;5;-;;
AIKA;4;-;;
AIKATERINA;2;-;;
AIKATERINI;189;41,1;;
AIKI;3;-;;
AIKO;29;30,5;;
AILA;726;56,3;;
ÁILA;2;-;;
AILADA;3;-;;
AILAN;3;-;;
AILAR;10;28;;
AILBHE;3;-;;
AILDA;2;-;;
AILE;7;-;;
ÁILE;8;-;;
AILEC;2;-;;
AILEE;2;-;;
AILEEN;115;28,6;;
AILEMA;2;-;;
AILEN;11;30,4;;
AILENE;3;-;;
AILI;390;56,8;;
AILIAN;3;-;;
AILIE;12;20,1;;
AILIN;97;18,8;;
AILÍN;2;-;;
AILINA;12;12,8;;
AILINE;11;18,3;;
AILING;3;-;;
AILINN;7;-;;
AILIS;4;-;;
AILISH;3;-;;
AILLA;3;-;;
AILSA;7;-;;
AILY;7;-;;
AILYN;24;23,6;;
AIMA;36;13,6;;
AIMAH;3;-;;
AIMAL;5;-;;
AIMAN;33;19,5;;
AIMAR;2;-;;
AIMARA;3;-;;
AIME;34;53,3;;
AIMÉ;7;-;;
AIMEE;143;18;;
AIMEÉ;10;26,1;;
AIMÉE;71;27,8;;
AIMEI;2;-;;
AIMEN;6;-;;
AIMI;12;25;;
AIMIE;13;11,6;;
AIMILIA;7;-;;
AIMIN;3;-;;
AIMING;3;-;;
AIMON;3;-;;
AIM-ORN;2;-;;
AIMY;7;-;;
AIN;6;-;;
AINA;3200;73,4;;
AINA-BRITT;2;-;;
AINAGUL;3;-;;
AINALEM;3;-;;
AINA-MARI;2;-;;
AINA-MARIA;2;-;;
AINARA;13;16,9;;
AINAZ;14;14,7;;
AINAZIK;2;-;;
AINDA;3;-;;
AINE;13;56,6;;
ÁINE;6;-;;
AINES;4;-;;
AINHOA;46;21,3;;
AINI;84;62,4;;
AINO;862;70,3;;
AINOA;12;23,4;;
AINOAH;2;-;;
AINO-LILL;2;-;;
AINOM;2;-;;
AINO-MAIJA;4;-;;
AINO-MARIA;2;-;;
AINO-MARJA;2;-;;
AINOR;4;-;;
AINU;2;-;;
AINUR;5;-;;
AINURA;10;38,1;;
AINY;3;-;;
AIPERI;3;-;;
AIPING;6;-;;
AIQI;2;-;;
AIQIN;5;-;;
AIRA;204;65,3;;
AIRADA;3;-;;
AIRAH;5;-;;
AIRE;12;52,1;;
AIREEN;4;-;;
AIREN;5;-;;
AIRENE;5;-;;
AIRES;3;-;;
AIRI;245;72,4;;
AIRIDA;4;-;;
AIRIE;2;-;;
AIRIKA;2;-;;
AIRIN;24;38,9;;
AIRISH;2;-;;
AIRONG;5;-;;
AIRUI;2;-;;
AISA;112;42;;
AISAH;3;-;;
AISAN;11;27,7;;
AISATOU;4;-;;
AISCHA;9;-;;
AISE;5;-;;
AISEL;11;11,5;;
AISH;2;-;;
AISHA;2159;18,3;;
AÏSHA;4;-;;
AISHAA;2;-;;
AISHAH;39;19,9;;
AISHAN;7;-;;
AISHANI;10;9,9;;
AISHA-NOOR;2;-;;
AISHAT;16;29,6;;
AISHATH;2;-;;
AISHATOU;4;-;;
AISHE;20;31,2;;
AISHEH;13;40,2;;
AISHI;7;-;;
AISHIA;2;-;;
AISHO;30;19,4;;
AISHWARIYA;3;-;;
AISHWARYA;52;26,6;;
AISI;3;-;;
AISLING;14;29,6;;
AISLINN;7;-;;
